imname	RA	DEC	EXPTIME
Q50F1V1	14:53:43	-03:36:37	40
Q50F2V1	14:53:42	-05:33:01	40
Q50F3V1	15:00:08	-06:32:13	40
Q50F4V1	15:00:07	-04:35:49	40
Q50F1V2	14:53:43	-03:36:37	40
Q50F2V2	14:53:42	-05:33:01	40
Q50F3V2	15:00:08	-06:32:13	40
Q50F4V2	15:00:07	-04:35:49	40
Q50F1V3	14:53:43	-03:36:37	40
Q50F2V3	14:53:42	-05:33:01	40
Q50F3V3	15:00:08	-06:32:13	40
Q50F4V3	15:00:07	-04:35:49	40
Q50F1V4	14:53:43	-03:36:37	40
Q50F2V4	14:53:42	-05:33:01	40
Q50F3V4	15:00:08	-06:32:13	40
Q50F4V4	15:00:07	-04:35:49	40
Q50F1V5	14:53:43	-03:36:37	40
Q50F2V5	14:53:42	-05:33:01	40
Q50F3V5	15:00:08	-06:32:13	40
Q50F4V5	15:00:07	-04:35:49	40
SLEW_QX_QY	15:00:07	-04:35:49	60
