imname	RA	DEC	EXPTIME
Q69F1V1	14:43:01	-27:07:25	40
Q69F2V1	14:42:57	-29:05:49	40
Q69F3V1	14:50:17	-30:03:01	40
Q69F4V1	14:50:13	-28:06:37	40
Q69F1V2	14:43:01	-27:07:25	40
Q69F2V2	14:42:57	-29:05:49	40
Q69F3V2	14:50:17	-30:03:01	40
Q69F4V2	14:50:13	-28:06:37	40
Q69F1V3	14:43:01	-27:07:25	40
Q69F2V3	14:42:57	-29:05:49	40
Q69F3V3	14:50:17	-30:03:01	40
Q69F4V3	14:50:13	-28:06:37	40
Q69F1V4	14:43:01	-27:07:25	40
Q69F2V4	14:42:57	-29:05:49	40
Q69F3V4	14:50:17	-30:03:01	40
Q69F4V4	14:50:13	-28:06:37	40
Q69F1V5	14:43:01	-27:07:25	40
Q69F2V5	14:42:57	-29:05:49	40
Q69F3V5	14:50:17	-30:03:01	40
Q69F4V5	14:50:13	-28:06:37	40
SLEW_QX_QY	14:50:13	-28:06:37	60
