UTC	Airmass
2014-04-29 22:30:00	13.333
2014-04-29 23:00:00	13.333
2014-04-29 23:30:00	7.855
2014-04-30 00:00:00	4.310
2014-04-30 00:30:00	2.959
2014-04-30 01:00:00	2.266
2014-04-30 01:30:00	1.853
2014-04-30 02:00:00	1.585
2014-04-30 02:30:00	1.400
2014-04-30 03:00:00	1.270
2014-04-30 03:30:00	1.178
2014-04-30 04:00:00	1.112
2014-04-30 04:30:00	1.069
2014-04-30 05:00:00	1.044
2014-04-30 05:30:00	1.034
2014-04-30 06:00:00	1.040
2014-04-30 06:30:00	1.062
2014-04-30 07:00:00	1.102
2014-04-30 07:30:00	1.162
2014-04-30 08:00:00	1.248
2014-04-30 08:30:00	1.369
2014-04-30 09:00:00	1.540
2014-04-30 09:30:00	1.787
2014-04-30 10:00:00	2.162
2014-04-30 10:30:00	2.776
2014-04-30 11:00:00	3.928
2014-04-30 11:30:00	6.712
2014-04-30 12:00:00	13.333
