imname	RA	DEC	EXPTIME
Q86F1V1	15:08:09	-15:21:01	40
Q86F2V1	15:08:07	-17:19:25	40
Q86F3V1	15:14:49	-18:18:37	40
Q86F4V1	15:14:47	-16:20:13	40
Q86F1V2	15:08:09	-15:21:01	40
Q86F2V2	15:08:07	-17:19:25	40
Q86F3V2	15:14:49	-18:18:37	40
Q86F4V2	15:14:47	-16:20:13	40
Q86F1V3	15:08:09	-15:21:01	40
Q86F2V3	15:08:07	-17:19:25	40
Q86F3V3	15:14:49	-18:18:37	40
Q86F4V3	15:14:47	-16:20:13	40
Q86F1V4	15:08:09	-15:21:01	40
Q86F2V4	15:08:07	-17:19:25	40
Q86F3V4	15:14:49	-18:18:37	40
Q86F4V4	15:14:47	-16:20:13	40
Q86F1V5	15:08:09	-15:21:01	40
Q86F2V5	15:08:07	-17:19:25	40
Q86F3V5	15:14:49	-18:18:37	40
Q86F4V5	15:14:47	-16:20:13	40
SLEW_QX_QY	15:14:47	-16:20:13	60
