imname	RA	DEC	EXPTIME
Q28F1V1	13:46:26	-23:12:37	40
Q28F4V1	13:46:23	-25:09:01	40
Q28F3V1	13:53:28	-26:08:13	40
Q28F2V1	13:53:24	-24:11:49	40
Q28F1V2	13:46:26	-23:12:37	40
Q28F4V2	13:46:23	-25:09:01	40
Q28F3V2	13:53:28	-26:08:13	40
Q28F2V2	13:53:24	-24:11:49	40
Q28F1V3	13:46:26	-23:12:37	40
Q28F4V3	13:46:23	-25:09:01	40
Q28F3V3	13:53:28	-26:08:13	40
Q28F2V3	13:53:24	-24:11:49	40
Q28F1V4	13:46:26	-23:12:37	40
Q28F4V4	13:46:23	-25:09:01	40
Q28F3V4	13:53:28	-26:08:13	40
Q28F2V4	13:53:24	-24:11:49	40
Q28F1V5	13:46:26	-23:12:37	40
Q28F4V5	13:46:23	-25:09:01	40
Q28F3V5	13:53:28	-26:08:13	40
Q28F2V5	13:53:24	-24:11:49	40
SLEW_QX_QY	13:53:24	-24:11:49	60
