UTC	Airmass
2014-04-29 22:30:00	13.333
2014-04-29 23:00:00	13.333
2014-04-29 23:30:00	12.836
2014-04-30 00:00:00	5.697
2014-04-30 00:30:00	3.528
2014-04-30 01:00:00	2.571
2014-04-30 01:30:00	2.042
2014-04-30 02:00:00	1.715
2014-04-30 02:30:00	1.497
2014-04-30 03:00:00	1.347
2014-04-30 03:30:00	1.241
2014-04-30 04:00:00	1.168
2014-04-30 04:30:00	1.120
2014-04-30 05:00:00	1.092
2014-04-30 05:30:00	1.083
2014-04-30 06:00:00	1.091
2014-04-30 06:30:00	1.117
2014-04-30 07:00:00	1.163
2014-04-30 07:30:00	1.233
2014-04-30 08:00:00	1.335
2014-04-30 08:30:00	1.480
2014-04-30 09:00:00	1.690
2014-04-30 09:30:00	2.004
2014-04-30 10:00:00	2.506
2014-04-30 10:30:00	3.403
2014-04-30 11:00:00	5.375
2014-04-30 11:30:00	11.804
2014-04-30 12:00:00	13.333
